priority,priority_zh,ticket_id,repo,repository_size_group,indexed_file_count,top_level_module_count,large_multimodule,outcome,failure_stage,failure_stage_zh,gold_file_count,recovered_gold_count,missing_gold_files
P0_large_multimodule_retrieval,大型多模組專案的初步檢索遺漏,django__django-13884,django/django,large,808,5,True,partial_recall,initial_retrieval_miss,正確檔案未進入TF-IDF前50名,2,1,django/urls/base.py
P0_large_multimodule_retrieval,大型多模組專案的初步檢索遺漏,django__django-13915,django/django,large,808,5,True,partial_recall,initial_retrieval_miss,正確檔案未進入TF-IDF前50名,12,1,django/core/management/commands/compilemessages.py | django/db/backends/postgresql/base.py | django/db/backends/sqlite3/base.py | django/db/backends/sqlite3/client.py | django/db/migrations/questioner.py | django/http/cookie.py | django/http/request.py | django/utils/autoreload.py | django/utils/http.py | django/utils/module_loading.py | setup.py
P0_large_multimodule_retrieval,大型多模組專案的初步檢索遺漏,django__django-13207,django/django,large,806,5,True,partial_recall,mixed_retrieval_and_rerank,同一Ticket同時包含初步檢索與重新排序遺漏,16,1,django/core/management/commands/inspectdb.py | django/db/backends/base/features.py | django/db/backends/base/introspection.py | django/db/backends/base/schema.py | django/db/backends/mysql/features.py | django/db/backends/mysql/introspection.py | django/db/backends/mysql/schema.py | django/db/backends/oracle/features.py | django/db/backends/oracle/introspection.py | django/db/backends/oracle/schema.py | django/db/backends/postgresql/features.py | django/db/backends/postgresql/introspection.py | django/db/backends/sqlite3/features.py | django/db/backends/sqlite3/introspection.py | django/db/backends/sqlite3/schema.py
P0_large_multimodule_retrieval,大型多模組專案的初步檢索遺漏,django__django-13250,django/django,large,806,5,True,partial_recall,mixed_retrieval_and_rerank,同一Ticket同時包含初步檢索與重新排序遺漏,5,3,django/db/backends/base/features.py | django/db/backends/oracle/features.py
P0_large_multimodule_retrieval,大型多模組專案的初步檢索遺漏,django__django-13354,django/django,large,806,5,True,miss,initial_retrieval_miss,正確檔案未進入TF-IDF前50名,1,0,django/db/migrations/operations/utils.py
P0_large_multimodule_retrieval,大型多模組專案的初步檢索遺漏,django__django-13530,django/django,large,806,5,True,partial_recall,mixed_retrieval_and_rerank,同一Ticket同時包含初步檢索與重新排序遺漏,5,1,django/contrib/postgres/aggregates/mixins.py | django/contrib/postgres/constraints.py | django/db/models/expressions.py | django/db/models/lookups.py
P0_large_multimodule_retrieval,大型多模組專案的初步檢索遺漏,django__django-13569,django/django,large,806,5,True,miss,initial_retrieval_miss,正確檔案未進入TF-IDF前50名,1,0,django/db/models/functions/math.py
P0_large_multimodule_retrieval,大型多模組專案的初步檢索遺漏,django__django-11527,django/django,large,799,5,True,partial_recall,initial_retrieval_miss,正確檔案未進入TF-IDF前50名,3,1,django/core/management/commands/sqlflush.py | django/core/management/commands/sqlmigrate.py
P0_large_multimodule_retrieval,大型多模組專案的初步檢索遺漏,sympy__sympy-18478,sympy/sympy,large,782,7,True,miss,initial_retrieval_miss,正確檔案未進入TF-IDF前50名,1,0,sympy/core/add.py
P0_large_multimodule_retrieval,大型多模組專案的初步檢索遺漏,sympy__sympy-18087,sympy/sympy,large,767,7,True,miss,initial_retrieval_miss,正確檔案未進入TF-IDF前50名,1,0,sympy/core/exprtools.py
P0_large_multimodule_retrieval,大型多模組專案的初步檢索遺漏,sympy__sympy-17720,sympy/sympy,large,758,7,True,miss,initial_retrieval_miss,正確檔案未進入TF-IDF前50名,1,0,sympy/ntheory/factor_.py
P0_large_multimodule_retrieval,大型多模組專案的初步檢索遺漏,sympy__sympy-17394,sympy/sympy,large,754,7,True,partial_recall,mixed_retrieval_and_rerank,同一Ticket同時包含初步檢索與重新排序遺漏,4,2,sympy/printing/codeprinter.py | sympy/stats/crv_types.py
P0_large_multimodule_retrieval,大型多模組專案的初步檢索遺漏,sympy__sympy-16963,sympy/sympy,large,743,7,True,partial_recall,mixed_retrieval_and_rerank,同一Ticket同時包含初步檢索與重新排序遺漏,8,5,sympy/core/evalf.py | sympy/ntheory/factor_.py | sympy/tensor/indexed.py
P0_large_multimodule_retrieval,大型多模組專案的初步檢索遺漏,sympy__sympy-17022,sympy/sympy,large,743,7,True,miss,initial_retrieval_miss,正確檔案未進入TF-IDF前50名,1,0,sympy/printing/pycode.py
P0_large_multimodule_retrieval,大型多模組專案的初步檢索遺漏,sympy__sympy-16088,sympy/sympy,large,742,7,True,partial_recall,initial_retrieval_miss,正確檔案未進入TF-IDF前50名,5,4,sympy/physics/continuum_mechanics/beam.py
P0_large_multimodule_retrieval,大型多模組專案的初步檢索遺漏,sympy__sympy-16864,sympy/sympy,large,742,7,True,partial_recall,initial_retrieval_miss,正確檔案未進入TF-IDF前50名,7,6,sympy/sets/contains.py
P0_large_multimodule_retrieval,大型多模組專案的初步檢索遺漏,sympy__sympy-15948,sympy/sympy,large,741,7,True,partial_recall,mixed_retrieval_and_rerank,同一Ticket同時包含初步檢索與重新排序遺漏,8,4,sympy/core/add.py | sympy/core/exprtools.py | sympy/core/operations.py | sympy/matrices/expressions/trace.py
P0_large_multimodule_retrieval,大型多模組專案的初步檢索遺漏,sympy__sympy-16056,sympy/sympy,large,741,7,True,partial_recall,initial_retrieval_miss,正確檔案未進入TF-IDF前50名,3,1,sympy/core/numbers.py | sympy/diffgeom/diffgeom.py
P0_large_multimodule_retrieval,大型多模組專案的初步檢索遺漏,sympy__sympy-15085,sympy/sympy,large,738,7,True,miss,initial_retrieval_miss,正確檔案未進入TF-IDF前50名,8,0,sympy/printing/ccode.py | sympy/printing/codeprinter.py | sympy/printing/fcode.py | sympy/printing/glsl.py | sympy/printing/jscode.py | sympy/printing/julia.py | sympy/printing/mathematica.py | sympy/printing/octave.py
P0_large_multimodule_retrieval,大型多模組專案的初步檢索遺漏,astropy__astropy-13933,astropy/astropy,large,712,6,True,partial_recall,initial_retrieval_miss,正確檔案未進入TF-IDF前50名,2,1,astropy/visualization/wcsaxes/formatter_locator.py
P0_large_multimodule_retrieval,大型多模組專案的初步檢索遺漏,sympy__sympy-14564,sympy/sympy,large,683,7,True,partial_recall,initial_retrieval_miss,正確檔案未進入TF-IDF前50名,4,1,sympy/printing/latex.py | sympy/printing/pretty/pretty.py | sympy/printing/str.py
P0_large_multimodule_retrieval,大型多模組專案的初步檢索遺漏,sympy__sympy-14024,sympy/sympy,large,671,7,True,miss,initial_retrieval_miss,正確檔案未進入TF-IDF前50名,1,0,sympy/core/numbers.py
P0_large_multimodule_retrieval,大型多模組專案的初步檢索遺漏,sympy__sympy-13806,sympy/sympy,large,664,7,True,partial_recall,initial_retrieval_miss,正確檔案未進入TF-IDF前50名,3,1,sympy/printing/pretty/pretty.py | sympy/printing/pretty/stringpict.py
P0_large_multimodule_retrieval,大型多模組專案的初步檢索遺漏,sympy__sympy-13840,sympy/sympy,large,663,7,True,miss,initial_retrieval_miss,正確檔案未進入TF-IDF前50名,1,0,sympy/printing/rcode.py
P0_large_multimodule_retrieval,大型多模組專案的初步檢索遺漏,sympy__sympy-13895,sympy/sympy,large,663,7,True,miss,initial_retrieval_miss,正確檔案未進入TF-IDF前50名,1,0,sympy/core/numbers.py
P0_large_multimodule_retrieval,大型多模組專案的初步檢索遺漏,sympy__sympy-13915,sympy/sympy,large,663,7,True,miss,initial_retrieval_miss,正確檔案未進入TF-IDF前50名,1,0,sympy/core/mul.py
P0_large_multimodule_retrieval,大型多模組專案的初步檢索遺漏,sympy__sympy-13619,sympy/sympy,large,662,7,True,partial_recall,mixed_retrieval_and_rerank,同一Ticket同時包含初步檢索與重新排序遺漏,5,3,sympy/calculus/util.py | sympy/core/basic.py
P0_large_multimodule_retrieval,大型多模組專案的初步檢索遺漏,sympy__sympy-13286,sympy/sympy,large,655,7,True,partial_recall,initial_retrieval_miss,正確檔案未進入TF-IDF前50名,2,1,sympy/solvers/decompogen.py
P0_large_multimodule_retrieval,大型多模組專案的初步檢索遺漏,sympy__sympy-13091,sympy/sympy,large,637,7,True,partial_recall,mixed_retrieval_and_rerank,同一Ticket同時包含初步檢索與重新排序遺漏,21,3,sympy/core/exprtools.py | sympy/physics/optics/medium.py | sympy/physics/vector/dyadic.py | sympy/physics/vector/frame.py | sympy/physics/vector/vector.py | sympy/polys/agca/modules.py | sympy/polys/domains/domain.py | sympy/polys/domains/expressiondomain.py | sympy/polys/domains/pythonrational.py | sympy/polys/domains/quotientring.py | sympy/polys/fields.py | sympy/polys/monomials.py | sympy/polys/polyclasses.py | sympy/polys/polytools.py | sympy/polys/rings.py | sympy/polys/rootoftools.py | sympy/tensor/array/ndim_array.py | sympy/utilities/enumerative.py
P0_large_multimodule_retrieval,大型多模組專案的初步檢索遺漏,sympy__sympy-13146,sympy/sympy,large,637,7,True,miss,initial_retrieval_miss,正確檔案未進入TF-IDF前50名,1,0,sympy/core/operations.py
P0_large_multimodule_retrieval,大型多模組專案的初步檢索遺漏,sympy__sympy-13198,sympy/sympy,large,637,7,True,miss,initial_retrieval_miss,正確檔案未進入TF-IDF前50名,1,0,sympy/polys/factortools.py
P0_large_multimodule_retrieval,大型多模組專案的初步檢索遺漏,sympy__sympy-12945,sympy/sympy,large,632,7,True,partial_recall,mixed_retrieval_and_rerank,同一Ticket同時包含初步檢索與重新排序遺漏,3,1,sympy/core/basic.py | sympy/utilities/lambdify.py
P0_large_multimodule_retrieval,大型多模組專案的初步檢索遺漏,sympy__sympy-12108,sympy/sympy,large,619,6,True,partial_recall,mixed_retrieval_and_rerank,同一Ticket同時包含初步檢索與重新排序遺漏,17,3,sympy/assumptions/ask_generated.py | sympy/assumptions/sathandlers.py | sympy/concrete/delta.py | sympy/core/sympify.py | sympy/functions/special/bsplines.py | sympy/integrals/meijerint.py | sympy/logic/inference.py | sympy/logic/utilities/dimacs.py | sympy/plotting/experimental_lambdify.py | sympy/printing/precedence.py | sympy/solvers/inequalities.py | sympy/solvers/solvers.py | sympy/stats/crv_types.py | sympy/stats/rv.py
P0_large_multimodule_retrieval,大型多模組專案的初步檢索遺漏,sympy__sympy-12144,sympy/sympy,large,619,6,True,partial_recall,initial_retrieval_miss,正確檔案未進入TF-IDF前50名,3,1,sympy/core/symbol.py | sympy/printing/repr.py
P0_large_multimodule_retrieval,大型多模組專案的初步檢索遺漏,sympy__sympy-12227,sympy/sympy,large,619,6,True,partial_recall,initial_retrieval_miss,正確檔案未進入TF-IDF前50名,2,1,sympy/printing/repr.py
P0_large_multimodule_retrieval,大型多模組專案的初步檢索遺漏,sympy__sympy-12236,sympy/sympy,large,619,6,True,miss,initial_retrieval_miss,正確檔案未進入TF-IDF前50名,1,0,sympy/polys/domains/polynomialring.py
P0_large_multimodule_retrieval,大型多模組專案的初步檢索遺漏,sympy__sympy-11862,sympy/sympy,large,618,6,True,partial_recall,mixed_retrieval_and_rerank,同一Ticket同時包含初步檢索與重新排序遺漏,6,3,sympy/printing/lambdarepr.py | sympy/utilities/decorator.py | sympy/utilities/runtests.py
P0_large_multimodule_retrieval,大型多模組專案的初步檢索遺漏,sympy__sympy-11384,sympy/sympy,large,612,6,True,miss,initial_retrieval_miss,正確檔案未進入TF-IDF前50名,2,0,sympy/printing/latex.py | sympy/printing/pretty/pretty.py
P1_other_retrieval,其他初步檢索遺漏,pylint-dev__pylint-8929,pylint-dev/pylint,medium,1007,4,False,partial_recall,initial_retrieval_miss,正確檔案未進入TF-IDF前50名,5,3,pylint/interfaces.py | pylint/reporters/__init__.py
P1_other_retrieval,其他初步檢索遺漏,scikit-learn__scikit-learn-12656,scikit-learn/scikit-learn,medium,620,6,False,miss,initial_retrieval_miss,正確檔案未進入TF-IDF前50名,1,0,sklearn/metrics/classification.py
P1_other_retrieval,其他初步檢索遺漏,scikit-learn__scikit-learn-7760,scikit-learn/scikit-learn,medium,585,6,False,partial_recall,initial_retrieval_miss,正確檔案未進入TF-IDF前50名,2,1,sklearn/utils/_unittest_backport.py
P1_other_retrieval,其他初步檢索遺漏,scikit-learn__scikit-learn-11542,scikit-learn/scikit-learn,medium,583,6,False,partial_recall,initial_retrieval_miss,正確檔案未進入TF-IDF前50名,6,3,examples/applications/plot_prediction_latency.py | examples/ensemble/plot_ensemble_oob.py | examples/ensemble/plot_voting_probas.py
P1_other_retrieval,其他初步檢索遺漏,scikit-learn__scikit-learn-10306,scikit-learn/scikit-learn,medium,576,6,False,partial_recall,mixed_retrieval_and_rerank,同一Ticket同時包含初步檢索與重新排序遺漏,9,3,sklearn/cross_decomposition/pls_.py | sklearn/gaussian_process/gpc.py | sklearn/gaussian_process/gpr.py | sklearn/linear_model/logistic.py | sklearn/linear_model/ransac.py | sklearn/linear_model/ridge.py
P1_other_retrieval,其他初步檢索遺漏,scikit-learn__scikit-learn-13584,scikit-learn/scikit-learn,medium,575,7,False,miss,initial_retrieval_miss,正確檔案未進入TF-IDF前50名,1,0,sklearn/utils/_pprint.py
P1_other_retrieval,其他初步檢索遺漏,scikit-learn__scikit-learn-13392,scikit-learn/scikit-learn,medium,560,7,False,partial_recall,mixed_retrieval_and_rerank,同一Ticket同時包含初步檢索與重新排序遺漏,6,1,examples/model_selection/plot_roc.py | sklearn/linear_model/coordinate_descent.py | sklearn/linear_model/least_angle.py | sklearn/linear_model/ridge.py | sklearn/neighbors/regression.py
P1_other_retrieval,其他初步檢索遺漏,scikit-learn__scikit-learn-15084,scikit-learn/scikit-learn,medium,560,7,False,partial_recall,mixed_retrieval_and_rerank,同一Ticket同時包含初步檢索與重新排序遺漏,3,1,sklearn/ensemble/_stacking.py | sklearn/ensemble/base.py
P1_other_retrieval,其他初步檢索遺漏,scikit-learn__scikit-learn-14024,scikit-learn/scikit-learn,medium,542,7,False,partial_recall,initial_retrieval_miss,正確檔案未進入TF-IDF前50名,2,1,sklearn/utils/estimator_checks.py
P1_other_retrieval,其他初步檢索遺漏,scikit-learn__scikit-learn-13013,scikit-learn/scikit-learn,medium,541,7,False,partial_recall,mixed_retrieval_and_rerank,同一Ticket同時包含初步檢索與重新排序遺漏,9,5,sklearn/cluster/birch.py | sklearn/decomposition/online_lda.py | sklearn/ensemble/forest.py | sklearn/gaussian_process/gpr.py
P1_other_retrieval,其他初步檢索遺漏,scikit-learn__scikit-learn-13628,scikit-learn/scikit-learn,medium,529,7,False,partial_recall,initial_retrieval_miss,正確檔案未進入TF-IDF前50名,3,2,sklearn/calibration.py
P1_other_retrieval,其他初步檢索遺漏,sphinx-doc__sphinx-10097,sphinx-doc/sphinx,medium,293,4,False,miss,initial_retrieval_miss,正確檔案未進入TF-IDF前50名,1,0,sphinx/domains/std.py
P1_other_retrieval,其他初步檢索遺漏,sphinx-doc__sphinx-10807,sphinx-doc/sphinx,medium,289,4,False,partial_recall,initial_retrieval_miss,正確檔案未進入TF-IDF前50名,9,3,sphinx/domains/c.py | sphinx/domains/cpp.py | sphinx/domains/javascript.py | sphinx/domains/python.py | sphinx/domains/rst.py | sphinx/environment/collectors/toctree.py
P1_other_retrieval,其他初步檢索遺漏,sphinx-doc__sphinx-10819,sphinx-doc/sphinx,medium,288,4,False,miss,initial_retrieval_miss,正確檔案未進入TF-IDF前50名,1,0,sphinx/search/__init__.py
P1_other_retrieval,其他初步檢索遺漏,sphinx-doc__sphinx-9053,sphinx-doc/sphinx,medium,285,4,False,miss,initial_retrieval_miss,正確檔案未進入TF-IDF前50名,3,0,sphinx/environment/adapters/toctree.py | sphinx/writers/html.py | sphinx/writers/html5.py
P1_other_retrieval,其他初步檢索遺漏,sphinx-doc__sphinx-9260,sphinx-doc/sphinx,medium,285,4,False,miss,initial_retrieval_miss,正確檔案未進入TF-IDF前50名,1,0,sphinx/builders/linkcheck.py
P1_other_retrieval,其他初步檢索遺漏,sphinx-doc__sphinx-7906,sphinx-doc/sphinx,medium,272,4,False,partial_recall,mixed_retrieval_and_rerank,同一Ticket同時包含初步檢索與重新排序遺漏,4,2,sphinx/domains/c.py | sphinx/domains/cpp.py
P1_other_retrieval,其他初步檢索遺漏,sphinx-doc__sphinx-8273,sphinx-doc/sphinx,medium,272,4,False,miss,initial_retrieval_miss,正確檔案未進入TF-IDF前50名,1,0,sphinx/builders/manpage.py
P1_other_retrieval,其他初步檢索遺漏,sphinx-doc__sphinx-7234,sphinx-doc/sphinx,medium,268,4,False,miss,mixed_retrieval_and_rerank,同一Ticket同時包含初步檢索與重新排序遺漏,3,0,sphinx/ext/autodoc/__init__.py | sphinx/ext/autosummary/generate.py | sphinx/util/inspect.py
P1_other_retrieval,其他初步檢索遺漏,pytest-dev__pytest-9249,pytest-dev/pytest,medium,229,7,False,miss,initial_retrieval_miss,正確檔案未進入TF-IDF前50名,1,0,src/_pytest/mark/expression.py
P1_other_retrieval,其他初步檢索遺漏,pytest-dev__pytest-8950,pytest-dev/pytest,medium,227,7,False,partial_recall,initial_retrieval_miss,正確檔案未進入TF-IDF前50名,5,4,src/_pytest/scope.py
P1_other_retrieval,其他初步檢索遺漏,pytest-dev__pytest-7046,pytest-dev/pytest,medium,197,7,False,miss,mixed_retrieval_and_rerank,同一Ticket同時包含初步檢索與重新排序遺漏,2,0,src/_pytest/mark/__init__.py | src/_pytest/python.py
P1_other_retrieval,其他初步檢索遺漏,pytest-dev__pytest-7151,pytest-dev/pytest,medium,194,7,False,partial_recall,initial_retrieval_miss,正確檔案未進入TF-IDF前50名,2,1,src/_pytest/debugging.py
P1_other_retrieval,其他初步檢索遺漏,pytest-dev__pytest-5479,pytest-dev/pytest,medium,185,7,False,miss,initial_retrieval_miss,正確檔案未進入TF-IDF前50名,1,0,src/_pytest/_code/code.py
