evidence_id,ticket_id,repo,title,classification,classification_zh,review_reason,gold_files,candidate_file,candidate_rank,call_graph_bonus,reference_file,reference_rank,caller_symbol,target_file,target_symbol,call_name,line,resolution_type,target_is_gold,reference_is_gold
e4cg-7f5bbaa3b1b5,astropy__astropy-14508,astropy/astropy,`io.fits.Card` may use a string representation of floats that is larger than necessary,relationship_correct_not_modified,功能相關但非本次修改位置,Card._parse_value呼叫_str_to_num屬Card數值處理的直接路徑，但目標util.py不是本次修改檔案。,astropy/io/fits/card.py,astropy/io/fits/util.py,16,0.072,astropy/io/fits/card.py,1,Card._parse_value,astropy/io/fits/util.py,_str_to_num,_str_to_num,780,imported_function,False,True
e4cg-de5ffa73c5fa,astropy__astropy-13579,astropy/astropy,Inconsistent behavior of `world_to_pixel` in `SlicedLowLevelWCS`,irrelevant_mapping,完全無關,RA_DEC_ORDER只是WCS文件常數，與SlicedLowLevelWCS的world_to_pixel計算錯誤無關。,astropy/wcs/wcsapi/wrappers/sliced_wcs.py,astropy/wcs/docstrings.py,8,0.0605,astropy/wcs/wcs.py,3,WCS,astropy/wcs/docstrings.py,RA_DEC_ORDER,docstrings.RA_DEC_ORDER,1432,module_function,False,False
e4cg-fcdf0628e0b7,astropy__astropy-14379,astropy/astropy,Space between value and unit,relationship_correct_not_modified,功能相關但非本次修改位置,UnitBase.to_string到格式選擇屬單位輸出流程，與Angle字串中的值／單位間距相關，但非本次修改點。,astropy/coordinates/angles.py,astropy/units/format/__init__.py,19,0.049,astropy/units/core.py,5,UnitBase.to_string,astropy/units/format/__init__.py,get_format,unit_format.get_format,790,module_function,False,False
e4cg-80c4932e6851,astropy__astropy-8715,astropy/astropy,Silence warnings by default when reading in VO Tables,correct_mapping,指向正確修改檔案,VOTable驗證呼叫警告解析，目標exceptions.py屬本Ticket的Gold修改檔案。,astropy/io/votable/__init__.py | astropy/io/votable/connect.py | astropy/io/votable/converters.py | astropy/io/votable/exceptions.py | astropy/io/votable/table.py | astropy/io/votable/tree.py | astropy/io/votable/validator/result.py,astropy/io/votable/exceptions.py,1,0.0662,astropy/io/votable/table.py,2,validate,astropy/io/votable/exceptions.py,parse_vowarning,exceptions.parse_vowarning,267,module_function,True,True
e4cg-284dd1721e8c,astropy__astropy-8872,astropy/astropy,float16 quantities get upgraded to float64 automatically,relationship_correct_not_modified,功能相關但非本次修改位置,Quantity.to與Unit是Quantity的核心單位處理流程，和dtype問題屬同一功能區域，但修改位置在quantity.py。,astropy/units/quantity.py,astropy/units/core.py,5,0.072,astropy/units/quantity.py,1,Quantity.to,astropy/units/core.py,Unit,Unit,676,imported_function,False,True
e4cg-63ef6ac0b643,astropy__astropy-14096,astropy/astropy,Subclassed SkyCoord gives misleading attribute access message,irrelevant_mapping,完全無關,座標frame表示類別選擇與SkyCoord子類別__getattr__錯誤訊息無關。,astropy/coordinates/sky_coordinate.py,astropy/coordinates/baseframe.py,4,0.072,astropy/coordinates/sky_coordinate_parsers.py,3,_get_frame_without_data,astropy/coordinates/baseframe.py,_get_repr_cls,_get_repr_cls,215,imported_function,False,False
e4cg-3fc32d920d1e,astropy__astropy-14096,astropy/astropy,Subclassed SkyCoord gives misleading attribute access message,irrelevant_mapping,完全無關,WCS座標框架轉換與SkyCoord子類別屬性存取錯誤無關。,astropy/coordinates/sky_coordinate.py,astropy/wcs/wcs.py,10,0.049,astropy/wcs/utils.py,5,_celestial_frame_to_wcs_builtin,astropy/wcs/wcs.py,WCS,WCS,141,imported_function,False,False
e4cg-77752dc50235,astropy__astropy-13438,astropy/astropy,[Security] Jquery 3.1.1 is vulnerable to untrusted code execution,irrelevant_mapping,完全無關,FITS驗證錯誤清單與jQuery套件安全漏洞及版本更新完全無關。,astropy/table/jsviewer.py,astropy/io/fits/verify.py,7,0.049,astropy/io/fits/hdu/hdulist.py,5,HDUList._verify,astropy/io/fits/verify.py,_ErrList,_ErrList,1240,imported_function,False,False
e4cg-626b497ce5f0,astropy__astropy-12318,astropy/astropy,BlackBody bolometric flux is wrong if scale has units of dimensionless_unscaled,correct_mapping,指向正確修改檔案,ASDF的BlackBody轉換直接呼叫BlackBody，目標physical_models.py是本Ticket的Gold修改檔案。,astropy/modeling/physical_models.py,astropy/modeling/physical_models.py,1,0.0662,astropy/io/misc/asdf/tags/transform/physical_models.py,2,BlackBody.from_tree_transform,astropy/modeling/physical_models.py,BlackBody,physical_models.BlackBody,20,module_function,True,False
e4cg-44f1b643df05,astropy__astropy-14578,astropy/astropy,Writing a Table to FITS fails if the table contains objects,correct_mapping,指向正確修改檔案,FITS_rec.from_columns呼叫ColDefs，目標column.py是物件欄位寫入錯誤的Gold修改檔案。,astropy/io/fits/column.py,astropy/io/fits/column.py,1,0.049,astropy/io/fits/fitsrec.py,5,FITS_rec.from_columns,astropy/io/fits/column.py,ColDefs,ColDefs,315,imported_function,True,False
e4cg-8b7c7c3f8e7d,astropy__astropy-14578,astropy/astropy,Writing a Table to FITS fails if the table contains objects,irrelevant_mapping,完全無關,Table欄位分組功能與將object dtype寫入FITS失敗無關。,astropy/io/fits/column.py,astropy/table/groups.py,14,0.0605,astropy/table/column.py,3,BaseColumn.groups,astropy/table/groups.py,ColumnGroups,groups.ColumnGroups,1031,module_function,False,False
e4cg-1cbf3685d1a6,astropy__astropy-13162,astropy/astropy,"Angle bug for (d, m, s) tuple input (deprecate dms_to_degrees)",relationship_correct_not_modified,功能相關但非本次修改位置,Angle格式檢查呼叫IllegalHourError屬角度輸入驗證流程，來源也是Gold檔案，但錯誤類別檔非修改位置。,astropy/coordinates/angle_formats.py | astropy/coordinates/angles.py,astropy/coordinates/errors.py,3,0.0662,astropy/coordinates/angle_formats.py,2,_check_hour_range,astropy/coordinates/errors.py,IllegalHourError,IllegalHourError,324,imported_function,False,True
e4cg-092782415232,astropy__astropy-13162,astropy/astropy,"Angle bug for (d, m, s) tuple input (deprecate dms_to_degrees)",relationship_correct_not_modified,功能相關但非本次修改位置,Angle格式檢查呼叫IllegalHourWarning屬角度輸入驗證流程，來源也是Gold檔案，但警告類別檔非修改位置。,astropy/coordinates/angle_formats.py | astropy/coordinates/angles.py,astropy/coordinates/errors.py,3,0.0662,astropy/coordinates/angle_formats.py,2,_check_hour_range,astropy/coordinates/errors.py,IllegalHourWarning,IllegalHourWarning,322,imported_function,False,True
e4cg-40bf3da285f9,astropy__astropy-13162,astropy/astropy,"Angle bug for (d, m, s) tuple input (deprecate dms_to_degrees)",irrelevant_mapping,完全無關,ERFA的ldn單位輔助函式與Angle的dms tuple符號處理無關。,astropy/coordinates/angle_formats.py | astropy/coordinates/angles.py,astropy/units/quantity_helper/helpers.py,7,0.049,astropy/units/quantity_helper/erfa.py,5,helper_ldn,astropy/units/quantity_helper/helpers.py,_d,_d,217,imported_function,False,False
e4cg-b26f9f879b2e,django__django-13121,django/django,durations-only expressions doesn't work on SQLite and MySQL,irrelevant_mapping,完全無關,排序欄位名稱解析與duration expression的資料庫轉換錯誤無關。,django/db/backends/base/operations.py | django/db/backends/mysql/operations.py | django/db/backends/sqlite3/operations.py | django/db/models/expressions.py,django/db/models/sql/query.py,3,0.0662,django/db/models/sql/compiler.py,2,SQLCompiler.find_ordering_name,django/db/models/sql/query.py,get_order_dir,get_order_dir,722,imported_function,False,False
e4cg-a0f9f6e546fe,django__django-13121,django/django,durations-only expressions doesn't work on SQLite and MySQL,correct_mapping,指向正確修改檔案,QuerySet建立Value expression時目標expressions.py屬本Ticket的Gold修改檔案。,django/db/backends/base/operations.py | django/db/backends/mysql/operations.py | django/db/backends/sqlite3/operations.py | django/db/models/expressions.py,django/db/models/expressions.py,8,0.072,django/db/models/query.py,1,QuerySet.bulk_update,django/db/models/expressions.py,Value,Value,551,imported_function,True,False
e4cg-37e32d8610d0,django__django-11539,django/django,Move index name checks from Index.__init__ into system checks.,irrelevant_mapping,完全無關,管理命令預設選項處理與Index名稱檢查移至model system checks無關。,django/db/models/base.py | django/db/models/indexes.py,django/core/management/base.py,7,0.0547,django/core/management/__init__.py,4,ManagementUtility.execute,django/core/management/base.py,handle_default_options,handle_default_options,332,imported_function,False,False
e4cg-6ede9fed4fd8,django__django-13841,django/django,Access __file__ lazily rather than at module level,irrelevant_mapping,完全無關,template的verbatim標籤與Context建立都不是延遲讀取__file__的五個問題模組。,django/contrib/auth/password_validation.py | django/forms/renderers.py | django/utils/version.py | django/views/debug.py,django/template/context.py,18,0.0662,django/template/defaulttags.py,2,verbatim,django/template/context.py,Context,Context,1346,imported_function,False,False
e4cg-7ec113bd58c1,django__django-15292,django/django,Technical 404 debug page reported incorrect view name for CBVs.,irrelevant_mapping,完全無關,admindocs解析view docstring與Technical 404頁面顯示CBV名稱錯誤無關。,django/views/debug.py,django/contrib/admindocs/utils.py,8,0.0605,django/contrib/admindocs/views.py,3,ViewDetailView.get_context_data,django/contrib/admindocs/utils.py,parse_docstring,utils.parse_docstring,165,module_function,False,False
e4cg-d8499fbea42a,django__django-16810,django/django,Translatable URL patterns raise 404 for non-English default language when prefix_default_language=False is used.,correct_mapping,指向正確修改檔案,語言檢查呼叫to_locale，目標translation/__init__.py屬本Ticket的Gold修改檔案。,django/middleware/locale.py | django/urls/resolvers.py | django/utils/translation/__init__.py | django/utils/translation/trans_null.py | django/utils/translation/trans_real.py,django/utils/translation/__init__.py,2,0.072,django/utils/translation/trans_real.py,1,check_for_language,django/utils/translation/__init__.py,to_locale,to_locale,477,imported_function,True,True
