sample_index,gold_id,ticket_id,file_path,evidence_lines,expected_qualified_name,actual_qualified_name,expected_symbol_kind,actual_symbol_kind,file_correct,qualified_name_correct,symbol_kind_correct,source_range,verification_status,verification_note
12,sha256:c975ca88a1616e585f3b026cfd6d6117c6881c9af31e71741dc33c626bc820f4,matplotlib__matplotlib-26341,lib/matplotlib/axes/_base.py,227 228 229,_process_plot_var_args.__getstate__,_process_plot_var_args.__getstate__,method,method,True,True,True,227-229,exact,Independent patch identity and AST scope agree.
13,sha256:2e737682bba51708ccd12ff3094b39b934fc870372a179cbe675abfed7b6671b,django__django-16517,django/contrib/admindocs/utils.py,103,create_reference_role,create_reference_role,function,function,True,True,True,103-121,exact,Independent patch identity and AST scope agree.
14,sha256:d1ac98cda21d063d8d8a3b89b0305c1261fb80478fe3215138d05af575ea73f3,django__django-14399,django/conf/__init__.py,11,<module>,<module>,module,module,True,True,True,module,exact,Independent patch identity and AST scope agree.
15,sha256:eb229317dce91150a489ea0fd88fe2d28ff104448709e86d519aeb0eb8b6e26b,pydata__xarray-4940,xarray/core/dataset.py,6956 6958 6959 6960 6961 6962 6968 6975,Dataset.argmax,Dataset.argmax,method,method,True,True,True,6920-6981,exact,Independent patch identity and AST scope agree.
16,sha256:f8dc87da92a26d32fd11e5db32444b16095bbe93cb9ed800c52cec2970c9c254,django__django-14785,django/db/models/fields/__init__.py,4,<module>,<module>,module,module,True,True,True,module,exact,Independent patch identity and AST scope agree.
17,sha256:4e93417d02e6f62f763cf5cd1c7b9f49f70631b9bd918a729ec6c86d7e34b399,psf__requests-1776,requests/auth.py,18,<module>,<module>,module,module,True,True,True,module,exact,Independent patch identity and AST scope agree.
18,sha256:041a69458fa605da848fb689bce973e5e1f66f6d08ee7bf8ac07ae64192a7d61,pylint-dev__pylint-6357,pylint/checkers/similar.py,624,stripped_lines,stripped_lines,function,function,True,True,True,560-652,exact,Independent patch identity and AST scope agree.
19,sha256:1e823fb98729f17a5ef5d670410d3e7f557d20a45ad478bc240695ec0d682893,astropy__astropy-13073,astropy/io/ascii/core.py,1018,BaseOutputter,BaseOutputter,class,class,True,True,True,1015-1084,exact,Independent patch identity and AST scope agree.
20,sha256:e2e150ab40107ad85dab4e908a185575a3743b0219c19b96ae0d9d18a8d034fa,django__django-14785,django/db/models/fields/__init__.py,1541,DecimalField.to_python,DecimalField.to_python,method,method,True,True,True,1538-1550,exact,Independent patch identity and AST scope agree.
21,sha256:118b40919540e77a72df4e0872b88c1645a8a08c37d682fdb8f1f22512a1278e,django__django-15139,django/core/cache/backends/redis.py,12 13 14 15 16,RedisSerializer,RedisSerializer,class,class,True,True,True,12-28,exact,Independent patch identity and AST scope agree.
22,sha256:b9e8ce1cb8773c9e481716ef2f1a833676185cb390f47d6c3e3e50671dd2b6eb,pydata__xarray-4940,xarray/core/dataset.py,6857,Dataset.argmin,Dataset.argmin,method,method,True,True,True,6857-6918,exact,Independent patch identity and AST scope agree.
23,sha256:123b710af38ab938a2941385cdbe2595e47c8506a82c8f87f513b60c0042fc0f,pydata__xarray-5580,xarray/core/formatting.py,380 381 387,_mapping_repr,_mapping_repr,function,function,True,True,True,375-402,exact,Independent patch identity and AST scope agree.
24,sha256:73bc8cfeee5df88e20765a3a16f5a3852b5bc33e07167bc8913f893232471e60,matplotlib__matplotlib-25404,lib/matplotlib/widgets.py,2460 2461 2468,_SelectorWidget.set_props,_SelectorWidget.set_props,method,method,True,True,True,2458-2468,exact,Independent patch identity and AST scope agree.
25,sha256:90c47628fecb06ef8ff8b52ea6a0cd3e39200ca85edbf354e198932e15534ba9,pytest-dev__pytest-10893,src/_pytest/unittest.py,300,TestCaseFunction,TestCaseFunction,class,class,True,True,True,183-342,exact,Independent patch identity and AST scope agree.
26,sha256:30938cdf5a50334a71a597c10ff8cd5c6e9c6280dae53929ffaa4432254ebb23,pallets__flask-4642,src/flask/cli.py,480,FlaskGroup.__init__,FlaskGroup.__init__,method,method,True,True,True,466-490,exact,Independent patch identity and AST scope agree.
27,sha256:6c7f9616068c83876282550be9507ee9706eed2150ac1ca1e3533ac3827fb229,pydata__xarray-4940,xarray/core/dataset.py,6920,Dataset.argmax,Dataset.argmax,method,method,True,True,True,6920-6981,exact,Independent patch identity and AST scope agree.
28,sha256:d798a655015cf55416119e0bcba7de14710c3ff9232e8c8de55fea22fc2acfdf,pydata__xarray-4684,xarray/coding/times.py,154 155 156 157 158 159 160 161 162 163 164 165 166 167,_decode_datetime_with_pandas,_decode_datetime_with_pandas,function,function,True,True,True,138-169,exact,Independent patch identity and AST scope agree.
29,sha256:e541a404aca72ecb6a677e57f0c98c93454d11d4c7d736454765ee6f86018357,pylint-dev__pylint-6357,pylint/checkers/similar.py,565,stripped_lines,stripped_lines,function,function,True,True,True,560-652,exact,Independent patch identity and AST scope agree.
30,sha256:726079f983aba460a4abcc4760dc8d7c1c2ae7e5b37ca07141ed6eb1d07c9991,pydata__xarray-4684,xarray/coding/times.py,28,<module>,<module>,module,module,True,True,True,module,exact,Independent patch identity and AST scope agree.
31,sha256:315155402ea83e6582ae37440f99e53976743981abc28255f20cfc946d5ea459,psf__requests-2393,requests/utils.py,421 422 423 424,requote_uri,requote_uri,function,function,True,True,True,415-424,exact,Independent patch identity and AST scope agree.
32,sha256:0157bcbade40a8e00b1d85383b23bdb6263769341a6f24050054596c3842b76c,pylint-dev__pylint-6820,pylint/config/utils.py,233 238,_preprocess_options,_preprocess_options,function,function,True,True,True,216-251,exact,Independent patch identity and AST scope agree.
33,sha256:11b3b919987c6baea0fdd9097ece981ff2650bad9e4f6b5657c1ac888fd75757,sphinx-doc__sphinx-9798,sphinx/domains/python.py,361,PyXrefMixin.make_xrefs,PyXrefMixin.make_xrefs,method,method,True,True,True,346-367,exact,Independent patch identity and AST scope agree.
34,sha256:2679278f033a15aa41bb24c86aeebe098b42f9697e36df53fc31c96dd17881c1,mwaskom__seaborn-2813,seaborn/axisgrid.py,2101,pairplot,pairplot,function,function,True,True,True,1975-2146,exact,Independent patch identity and AST scope agree.
35,sha256:45a91f74849b2408b74095579acda1e421896f0a6d538d19ac58451d983b403b,pallets__flask-4642,src/flask/cli.py,640,show_server_banner,show_server_banner,function,function,True,True,True,636-662,exact,Independent patch identity and AST scope agree.
36,sha256:b85edd01272bd1121d7e272bb4ab67e6b9ca8f0880e7da23ae6cd24d5eecfc8f,matplotlib__matplotlib-25404,lib/matplotlib/widgets.py,2673,SpanSelector.__init__,SpanSelector.__init__,method,method,True,True,True,2633-2687,exact,Independent patch identity and AST scope agree.
37,sha256:6990eb35fa42c4d75282e5584ff4a95b9679cde2ade3acd982c8be7f14336ba7,pydata__xarray-3649,xarray/core/combine.py,539,combine_by_coords,combine_by_coords,function,function,True,True,True,472-698,exact,Independent patch identity and AST scope agree.
38,sha256:067e461aa79f7b7372383d17f154ae2c09922be8a843502dc79ceedb57440f3b,pylint-dev__pylint-7097,pylint/checkers/imports.py,30,<module>,<module>,module,module,True,True,True,module,exact,Independent patch identity and AST scope agree.
39,sha256:8418f8a2161a4fc373d736e42b32558e7991b1f35430892ecd22cb9ac9e146e7,pydata__xarray-3649,xarray/core/combine.py,118 120 121 122,_check_shape_tile_ids,_check_shape_tile_ids,function,function,True,True,True,118-141,exact,Independent patch identity and AST scope agree.
40,sha256:ff27f47345336ea078fecd72beace146e69f92c78cefda73834b5ce1ec85252c,astropy__astropy-14598,astropy/io/fits/card.py,69,Card,Card,class,class,True,True,True,41-1243,exact,Independent patch identity and AST scope agree.
41,sha256:51d91d486df2f247cd16d08670aad5e6f0d4aff3f98d259d68930e0b5a3d4ee1,django__django-16517,django/contrib/admindocs/utils.py,114,create_reference_role.<locals>._role,create_reference_role.<locals>._role,function,function,True,True,True,104-119,exact,Independent patch identity and AST scope agree.
42,sha256:c1fe02fe347d8bee1932e2164e0be810a142cf12b0b39ebdea8a6449db5790cb,pylint-dev__pylint-6357,pylint/checkers/similar.py,370 371 372 373 374 375 376 377 378 379 380 381 382 383 384 385 386 387 388 390,Similar.append_stream,Similar.append_stream,method,method,True,True,True,359-390,exact,Independent patch identity and AST scope agree.
43,sha256:b079214450d4187fd3c0931174ae4bd0b59f65cbfd8f4dd149e504b88d30a903,pylint-dev__pylint-7097,pylint/checkers/imports.py,803 804 806,ImportsChecker._get_imported_module,ImportsChecker._get_imported_module,method,method,True,True,True,793-823,exact,Independent patch identity and AST scope agree.
44,sha256:c6e8112db5f3ffded3a13ee09796278d7baaf270f040b06aae5c14c801477686,astropy__astropy-13465,astropy/io/fits/diff.py,1436,TableDataDiff._report,TableDataDiff._report,method,method,True,True,True,1398-1447,exact,Independent patch identity and AST scope agree.
45,sha256:1b3b0bb9e086eded3ff43d298b1ce1e586f2e5a250bacf2bd55529e9937b58ef,django__django-15139,django/contrib/sessions/backends/base.py,235,SessionBase.get_expiry_date,SessionBase.get_expiry_date,method,method,True,True,True,218-237,exact,Independent patch identity and AST scope agree.
46,sha256:04220c8dcbcdee815f8fc66d613cece2d2c8dda0757e3d568eef37bda4ad76ac,pylint-dev__pylint-6528,pylint/lint/pylinter.py,581,PyLinter._discover_files,PyLinter._discover_files,method,method,True,True,True,567-592,exact,Independent patch identity and AST scope agree.
47,sha256:ff8dddb5e4502480723bae34bb6d2952aa44f7c352f96aca9b7bff8a9fc8f946,psf__requests-1776,requests/models.py,301,PreparedRequest.copy,PreparedRequest.copy,method,method,True,True,True,297-304,exact,Independent patch identity and AST scope agree.
48,sha256:9ae3111f893dbc055723765523be6a1a598fea319cbe2c7b2cbc6a10fa9ab212,mwaskom__seaborn-3187,seaborn/_core/scales.py,380,ContinuousBase._setup,ContinuousBase._setup,method,method,True,True,True,322-384,exact,Independent patch identity and AST scope agree.
49,sha256:865e9a511ceda95faf6c5e7219cb8d3298d0962683d07f1277df40f213673b66,pytest-dev__pytest-10893,src/_pytest/pathlib.py,30,<module>,<module>,module,module,True,True,True,module,exact,Independent patch identity and AST scope agree.
50,sha256:11a086c7a14769be4638b1bed7ee4082fbd5b3062fb2f7067b9234df407240a1,sympy__sympy-13279,sympy/core/mul.py,273,Mul.flatten,Mul.flatten,method,method,True,True,True,97-616,exact,Independent patch identity and AST scope agree.
