sample_index,audit_seed,audit_strata,gold_id,ticket_id,repo,base_commit,file_path,mapping_status,mapping_method,mapping_confidence,exclusion_reason,symbol_id,qualified_name,symbol_kind,start_line,start_column,end_line,end_column,change_type,hunk_index,old_file_path,new_file_path,old_start_line,old_line_count,new_start_line,new_line_count,matched_old_lines,context_old_lines,insertion_anchor_line,patch_sha256,review_status,file_correct,qualified_name_correct,symbol_kind_correct,review_note
14,20260902,module_level,sha256:d1ac98cda21d063d8d8a3b89b0305c1261fb80478fe3215138d05af575ea73f3,django__django-14399,django/django,958cdf65ae90d26236d1815bbba804729595ec7a,django/conf/__init__.py,mapped,module_level,0.8,,sha256:54443103ef24a6ff43fbbdb78df92268c72537333751da4a36f31a6e6ae38ba9,<module>,module,11,0,11,0,modified,0,django/conf/__init__.py,django/conf/__init__.py,9,10,9,12,,9 10 11 12 13 14 15 16 17 18,11,sha256:920b660e69a8f5d01d383c7ff143a06ab760b2fe5316982db557ab9267ca60d2,approved,true,true,true,Verified against patch hunk base source and independent AST.
15,20260902,deletion nested_symbol,sha256:eb229317dce91150a489ea0fd88fe2d28ff104448709e86d519aeb0eb8b6e26b,pydata__xarray-4940,pydata/xarray,48378c4b11c5c2672ff91396d4284743165b4fbe,xarray/core/dataset.py,mapped,modified_line_containment,1.0,,sha256:f332382faad6609b7e9992a5b7d6016535121888de2f993b3f5bd15e25255e54,Dataset.argmax,method,6920,4,6981,13,modified,6,xarray/core/dataset.py,xarray/core/dataset.py,6953,26,6950,24,6956 6958 6959 6960 6961 6962 6968 6975,6953 6954 6955 6957 6963 6964 6965 6966 6967 6969 6970 6971 6972 6973 6974 6976 6977 6978,6957,sha256:1d617e625a7afdf974cdfded84b2141d9f20f3d86baaef1fd5a79b89f5b2a20a,approved,true,true,true,Verified against patch hunk base source and independent AST.
16,20260902,module_level,sha256:f8dc87da92a26d32fd11e5db32444b16095bbe93cb9ed800c52cec2970c9c254,django__django-14785,django/django,93f3b7a0ba2969109940775a18515728603afac6,django/db/models/fields/__init__.py,mapped,module_level,0.8,,sha256:080d81b8795e76b42594d0404a96fab73f20d6304a7e224baa74f7bcda8bb14d,<module>,module,4,0,4,0,modified,0,django/db/models/fields/__init__.py,django/db/models/fields/__init__.py,2,6,2,7,,2 3 4 5 6 7,4,sha256:019e10b60c7050cda4369ec39f8118ce4033badf72d5c582f544571439c06b75,approved,true,true,true,Verified against patch hunk base source and independent AST.
17,20260902,module_level multi_file_ticket,sha256:4e93417d02e6f62f763cf5cd1c7b9f49f70631b9bd918a729ec6c86d7e34b399,psf__requests-1776,psf/requests,4bceb312f1b99d36a25f2985b5606e98b6f0d8cd,requests/auth.py,mapped,module_level,0.8,,sha256:e726186ceb7455354ce957ebec2e3e1477768f9a18f833c2fa50e31620bfb8f8,<module>,module,18,0,18,0,modified,0,requests/auth.py,requests/auth.py,16,6,16,7,,16 17 18 19 20 21,18,sha256:b523f16420da794e0bfb2ed13de62f50e76bf1187dd05ad3e632c6e29a68a23a,approved,true,true,true,Verified against patch hunk base source and independent AST.
18,20260902,pure_addition,sha256:041a69458fa605da848fb689bce973e5e1f66f6d08ee7bf8ac07ae64192a7d61,pylint-dev__pylint-6357,pylint-dev/pylint,cb37ae4fc24a8756a5f965cdc6ab9c472f909ab0,pylint/checkers/similar.py,mapped,insertion_anchor_containment,0.8,,sha256:29f181b2e943d730aba75af73ae78c25e6ff4a415449b68c34315b38bf984a0e,stripped_lines,function,560,0,652,24,modified,4,pylint/checkers/similar.py,pylint/checkers/similar.py,622,6,621,10,,622 623 624 625 626 627,624,sha256:a9aca1790b8a4e28fa8cf79d4d21aa991a37c7824a07f53cee7c24d7358f6fc0,approved,true,true,true,Verified against patch hunk base source and independent AST.
19,20260902,multi_file_ticket pure_addition,sha256:1e823fb98729f17a5ef5d670410d3e7f557d20a45ad478bc240695ec0d682893,astropy__astropy-13073,astropy/astropy,43ee5806e9c6f7d58c12c1cb9287b3c61abe489d,astropy/io/ascii/core.py,mapped,insertion_anchor_containment,0.8,,sha256:fc42d478bfdeceb9819ab9d7d9a710081969c7d2246b57c56a0a3b0374b9d7a5,BaseOutputter,class,1015,0,1084,34,modified,0,astropy/io/ascii/core.py,astropy/io/ascii/core.py,1016,7,1016,10,,1016 1017 1018 1019 1020 1021 1022,1018,sha256:491a351636fab32ca45f623ce82ee894f6631037db08d6948e03946bfafec763,approved,true,true,true,Verified against patch hunk base source and independent AST.
20,20260902,nested_symbol pure_addition,sha256:e2e150ab40107ad85dab4e908a185575a3743b0219c19b96ae0d9d18a8d034fa,django__django-14785,django/django,93f3b7a0ba2969109940775a18515728603afac6,django/db/models/fields/__init__.py,mapped,insertion_anchor_containment,0.8,,sha256:6b9c07ec8d7492605d5e24b9890da9b4e29b0a0840f40222a041eaacfd504e33,DecimalField.to_python,method,1538,4,1550,13,modified,1,django/db/models/fields/__init__.py,django/db/models/fields/__init__.py,1539,6,1540,12,,1539 1540 1541 1542 1543 1544,1541,sha256:019e10b60c7050cda4369ec39f8118ce4033badf72d5c582f544571439c06b75,approved,true,true,true,Verified against patch hunk base source and independent AST.
21,20260902,deletion multi_file_ticket,sha256:118b40919540e77a72df4e0872b88c1645a8a08c37d682fdb8f1f22512a1278e,django__django-15139,django/django,08d8bccbf1b0764a0de68325569ee47da256e206,django/core/cache/backends/redis.py,mapped,modified_line_containment,1.0,,sha256:642b7742a1543114c97a583a8db976089aa46916eda758007c3bfeeee87e8cde,RedisSerializer,class,12,0,28,38,modified,0,django/core/cache/backends/redis.py,django/core/cache/backends/redis.py,1,31,1,30,12 13 14 15 16,1 2 3 4 5 6 8 9 10 11 17 18 19 20 21 23 24 25 26 27 29 30 31,2,sha256:eda6a963b0a542eca714643ceb6c713353670377c9a5faa7e53e1de0e4619aad,approved,true,true,true,Verified against patch hunk base source and independent AST.
22,20260902,deletion nested_symbol,sha256:b9e8ce1cb8773c9e481716ef2f1a833676185cb390f47d6c3e3e50671dd2b6eb,pydata__xarray-4940,pydata/xarray,48378c4b11c5c2672ff91396d4284743165b4fbe,xarray/core/dataset.py,mapped,modified_line_containment,1.0,,sha256:855091b19bff70afad69c4d4421f73ad5230c0add91401863516e7d22eb2b3f5,Dataset.argmin,method,6857,4,6918,13,modified,1,xarray/core/dataset.py,xarray/core/dataset.py,6854,7,6860,7,6857,6854 6855 6856 6858 6859 6860,6858,sha256:1d617e625a7afdf974cdfded84b2141d9f20f3d86baaef1fd5a79b89f5b2a20a,approved,true,true,true,Verified against patch hunk base source and independent AST.
23,20260902,deletion,sha256:123b710af38ab938a2941385cdbe2595e47c8506a82c8f87f513b60c0042fc0f,pydata__xarray-5580,pydata/xarray,4bb9d9c6df77137f05e85c7cc6508fe7a93dc0e4,xarray/core/formatting.py,mapped,modified_line_containment,1.0,,sha256:f9feb024353b5806f5086089bde5deb4de35833f3218dd8e14870ccf5ded0e89,_mapping_repr,function,375,0,402,29,modified,0,xarray/core/formatting.py,xarray/core/formatting.py,377,14,377,12,380 381 387,377 378 379 382 383 384 385 386 388 389 390,388,sha256:a00c4034c21ae76a004470b2df354979e3d8e7027a6cfe8f137489ddf69f9375,approved,true,true,true,Verified against patch hunk base source and independent AST.
24,20260902,deletion nested_symbol,sha256:73bc8cfeee5df88e20765a3a16f5a3852b5bc33e07167bc8913f893232471e60,matplotlib__matplotlib-25404,matplotlib/matplotlib,b51a227058e16cdbc56890f49e3a0888ea02b9d2,lib/matplotlib/widgets.py,mapped,modified_line_containment,1.0,,sha256:03438d7d94c9b760aca513510af544231bbc3c21d5836ee4b5d23bc965ecbc10,_SelectorWidget.set_props,method,2458,4,2468,33,modified,0,lib/matplotlib/widgets.py,lib/matplotlib/widgets.py,2457,15,2457,16,2460 2461 2468,2457 2458 2459 2462 2463 2464 2465 2466 2467 2469 2470 2471,2462,sha256:0c013395a19ef9b5cf5779d73f08f010ec8c65c7705a796c0e72daac7aeba135,approved,true,true,true,Verified against patch hunk base source and independent AST.
25,20260902,multi_file_ticket pure_addition,sha256:90c47628fecb06ef8ff8b52ea6a0cd3e39200ca85edbf354e198932e15534ba9,pytest-dev__pytest-10893,pytest-dev/pytest,22524046cff84c66f128da9e3cdb993082445c75,src/_pytest/unittest.py,mapped,insertion_anchor_containment,0.8,,sha256:f57d8193b5cb1abf6ca387f524bc4884e1ea4d5f5b1a8d37dd2a2f796a344d57,TestCaseFunction,class,183,0,342,41,modified,0,src/_pytest/unittest.py,src/_pytest/unittest.py,298,6,298,9,,298 299 300 301 302 303,300,sha256:4df2577931b93db879e434bf97c7a4546c6aceff92d425b93d1886082326cf2a,approved,true,true,true,Verified against patch hunk base source and independent AST.
26,20260902,deletion multi_file_ticket nested_symbol,sha256:30938cdf5a50334a71a597c10ff8cd5c6e9c6280dae53929ffaa4432254ebb23,pallets__flask-4642,pallets/flask,97298e06fe19298c3ff9d2e0ed9ba70bb3fda2c8,src/flask/cli.py,mapped,modified_line_containment,1.0,,sha256:854505125676eaf39c620aa700cf5cadd3b83f50aabb086a2b9584f7624366d0,FlaskGroup.__init__,method,466,4,490,44,modified,2,src/flask/cli.py,src/flask/cli.py,477,7,479,13,480,477 478 479 481 482 483,481,sha256:591ac4027fe23bdc3cd5752c7476a08b5c333cf084b21c247db928265ba2c63d,approved,true,true,true,Verified against patch hunk base source and independent AST.
27,20260902,deletion nested_symbol,sha256:6c7f9616068c83876282550be9507ee9706eed2150ac1ca1e3533ac3827fb229,pydata__xarray-4940,pydata/xarray,48378c4b11c5c2672ff91396d4284743165b4fbe,xarray/core/dataset.py,mapped,modified_line_containment,1.0,,sha256:f332382faad6609b7e9992a5b7d6016535121888de2f993b3f5bd15e25255e54,Dataset.argmax,method,6920,4,6981,13,modified,4,xarray/core/dataset.py,xarray/core/dataset.py,6917,7,6917,7,6920,6917 6918 6919 6921 6922 6923,6921,sha256:1d617e625a7afdf974cdfded84b2141d9f20f3d86baaef1fd5a79b89f5b2a20a,approved,true,true,true,Verified against patch hunk base source and independent AST.
28,20260902,deletion,sha256:d798a655015cf55416119e0bcba7de14710c3ff9232e8c8de55fea22fc2acfdf,pydata__xarray-4684,pydata/xarray,0f1eb96c924bad60ea87edd9139325adabfefa33,xarray/coding/times.py,mapped,modified_line_containment,1.0,,sha256:a630ff19028244bbfe8bdf7bad6f15618277901cfb41a49517c90d6da8421c9a,_decode_datetime_with_pandas,function,138,0,169,75,modified,3,xarray/coding/times.py,xarray/coding/times.py,151,21,161,22,154 155 156 157 158 159 160 161 162 163 164 165 166 167,151 152 153 168 169 170 171,168,sha256:60f6e27ab978bdd563af3679eb84bdc3cde8826ad2963b5402f7b0ed69bc0390,approved,true,true,true,Verified against patch hunk base source and independent AST.
29,20260902,pure_addition,sha256:e541a404aca72ecb6a677e57f0c98c93454d11d4c7d736454765ee6f86018357,pylint-dev__pylint-6357,pylint-dev/pylint,cb37ae4fc24a8756a5f965cdc6ab9c472f909ab0,pylint/checkers/similar.py,mapped,insertion_anchor_containment,0.8,,sha256:29f181b2e943d730aba75af73ae78c25e6ff4a415449b68c34315b38bf984a0e,stripped_lines,function,560,0,652,24,modified,2,pylint/checkers/similar.py,pylint/checkers/similar.py,563,6,560,7,,563 564 565 566 567 568,565,sha256:a9aca1790b8a4e28fa8cf79d4d21aa991a37c7824a07f53cee7c24d7358f6fc0,approved,true,true,true,Verified against patch hunk base source and independent AST.
30,20260902,module_level,sha256:726079f983aba460a4abcc4760dc8d7c1c2ae7e5b37ca07141ed6eb1d07c9991,pydata__xarray-4684,pydata/xarray,0f1eb96c924bad60ea87edd9139325adabfefa33,xarray/coding/times.py,mapped,module_level,0.8,,sha256:21d9507ba30a8c03daea770c61835c9f94a1a8f1ada0ac8aa0cb1f9dfb69a47f,<module>,module,28,0,28,0,modified,0,xarray/coding/times.py,xarray/coding/times.py,26,6,26,7,,26 27 28 29 30 31,28,sha256:60f6e27ab978bdd563af3679eb84bdc3cde8826ad2963b5402f7b0ed69bc0390,approved,true,true,true,Verified against patch hunk base source and independent AST.
31,20260902,deletion,sha256:315155402ea83e6582ae37440f99e53976743981abc28255f20cfc946d5ea459,psf__requests-2393,psf/requests,d2d576b6b1101e2871c82f63adf2c2b534c2dabc,requests/utils.py,mapped,modified_line_containment,1.0,,sha256:5f0542ea1d368ba2334ab533c50c199f742c1df601e22caaa62c88c82b97b868,requote_uri,function,415,0,424,70,modified,0,requests/utils.py,requests/utils.py,418,10,418,18,421 422 423 424,418 419 420 425 426 427,425,sha256:7d2c24a5ffcaccf34014c9dfa783bcef44091d44cc9a28cde3e2f03e2493e57b,approved,true,true,true,Verified against patch hunk base source and independent AST.
32,20260902,deletion,sha256:0157bcbade40a8e00b1d85383b23bdb6263769341a6f24050054596c3842b76c,pylint-dev__pylint-6820,pylint-dev/pylint,b3523ae86eb68467dca536122bc4034639887a63,pylint/config/utils.py,mapped,modified_line_containment,1.0,,sha256:4f243eb9bf604330391693397f32708703aab20a6a5d7034cc4e4ac5c817484f,_preprocess_options,function,216,0,251,25,modified,1,pylint/config/utils.py,pylint/config/utils.py,230,12,244,21,233 238,230 231 232 234 235 236 237 239 240 241,234,sha256:11aa3d0b66fe0fd01c1090f71f2395b8aaef1811a39fd6664747bac07f82c5e1,approved,true,true,true,Verified against patch hunk base source and independent AST.
33,20260902,deletion nested_symbol,sha256:11b3b919987c6baea0fdd9097ece981ff2650bad9e4f6b5657c1ac888fd75757,sphinx-doc__sphinx-9798,sphinx-doc/sphinx,4c91c038b220d07bbdfe0c1680af42fe897f342c,sphinx/domains/python.py,mapped,modified_line_containment,1.0,,sha256:d1896cdd9f470d03a9a00d2a9ec56528b6f6300c819099c18379d37b58a0f6fd,PyXrefMixin.make_xrefs,method,346,4,367,22,modified,0,sphinx/domains/python.py,sphinx/domains/python.py,353,17,353,21,361,353 354 355 356 357 358 359 360 362 363 364 365 366 367 368 369,355,sha256:41be7334ae4aa928f0c2c8bf2a02404dd9a95fb193e04bef936bbf4bdfa3f7fa,approved,true,true,true,Verified against patch hunk base source and independent AST.
34,20260902,deletion multi_file_ticket,sha256:2679278f033a15aa41bb24c86aeebe098b42f9697e36df53fc31c96dd17881c1,mwaskom__seaborn-2813,mwaskom/seaborn,60e58eb07e4448694ca25e887684d39d5138babd,seaborn/axisgrid.py,mapped,modified_line_containment,1.0,,sha256:ca5b147b63c477bc7f0241f7f58beaf5a7a0ff3ff8a63b4cc5cfe044748348c2,pairplot,function,1975,0,2146,15,modified,0,seaborn/axisgrid.py,seaborn/axisgrid.py,2098,7,2098,7,2101,2098 2099 2100 2102 2103 2104,2102,sha256:a4d1a6c1cb9fa07e040f3119f1d2f7f829444a66f09006cbf527d5945171b50c,approved,true,true,true,Verified against patch hunk base source and independent AST.
35,20260902,deletion multi_file_ticket,sha256:45a91f74849b2408b74095579acda1e421896f0a6d538d19ac58451d983b403b,pallets__flask-4642,pallets/flask,97298e06fe19298c3ff9d2e0ed9ba70bb3fda2c8,src/flask/cli.py,mapped,modified_line_containment,1.0,,sha256:f63ef42a829859a4a016b545636155dda34f53f7776935aa42e4fad2c61c2d4c,show_server_banner,function,636,0,662,64,modified,4,src/flask/cli.py,src/flask/cli.py,637,7,641,7,640,637 638 639 641 642 643,641,sha256:591ac4027fe23bdc3cd5752c7476a08b5c333cf084b21c247db928265ba2c63d,approved,true,true,true,Verified against patch hunk base source and independent AST.
36,20260902,deletion nested_symbol,sha256:b85edd01272bd1121d7e272bb4ab67e6b9ca8f0880e7da23ae6cd24d5eecfc8f,matplotlib__matplotlib-25404,matplotlib/matplotlib,b51a227058e16cdbc56890f49e3a0888ea02b9d2,lib/matplotlib/widgets.py,mapped,modified_line_containment,1.0,,sha256:4aa09656e573a2aefb31c62b39ea1e96cba01b4e5dd89b8c40b40fe8ad2b3085,SpanSelector.__init__,method,2633,4,2687,27,modified,2,lib/matplotlib/widgets.py,lib/matplotlib/widgets.py,2670,7,2670,7,2673,2670 2671 2672 2674 2675 2676,2674,sha256:0c013395a19ef9b5cf5779d73f08f010ec8c65c7705a796c0e72daac7aeba135,approved,true,true,true,Verified against patch hunk base source and independent AST.
37,20260902,deletion,sha256:6990eb35fa42c4d75282e5584ff4a95b9679cde2ade3acd982c8be7f14336ba7,pydata__xarray-3649,pydata/xarray,3cbc459caa010f9b5042d3fa312b66c9b2b6c403,xarray/core/combine.py,mapped,modified_line_containment,1.0,,sha256:bbe0b4509547c21ff74527b2fed0680b0fed22b9f9efbd165c20d66ac4fb3d07,combine_by_coords,function,472,0,698,5,modified,2,xarray/core/combine.py,xarray/core/combine.py,536,7,542,8,539,536 537 538 540 541 542,540,sha256:443200b16f92efb3dec1fa26a091bbafde8452ae7725a87ed9a815c8025a9971,approved,true,true,true,Verified against patch hunk base source and independent AST.
38,20260902,module_level multi_file_ticket,sha256:067e461aa79f7b7372383d17f154ae2c09922be8a843502dc79ceedb57440f3b,pylint-dev__pylint-7097,pylint-dev/pylint,c33d237e6ea5795632295bb6390778a21e6f4080,pylint/checkers/imports.py,mapped,module_level,0.8,,sha256:b95ab96cf1b4d2e00e83061be04e038bd2bf2c139d3f5c6fc2b3b4131d8882d0,<module>,module,30,0,30,0,modified,0,pylint/checkers/imports.py,pylint/checkers/imports.py,28,6,28,7,,28 29 30 31 32 33,30,sha256:41d51344f12bbc341f520c1875c79828f1bba02c45ee91cb19b574a1ad449fec,approved,true,true,true,Verified against patch hunk base source and independent AST.
39,20260902,deletion,sha256:8418f8a2161a4fc373d736e42b32558e7991b1f35430892ecd22cb9ac9e146e7,pydata__xarray-3649,pydata/xarray,3cbc459caa010f9b5042d3fa312b66c9b2b6c403,xarray/core/combine.py,mapped,modified_line_containment,1.0,,sha256:8797ff01f7ef76f3d851ac87bba53f659d2f8444e5813127a93bbacd4da49886,_check_shape_tile_ids,function,118,0,141,13,modified,0,xarray/core/combine.py,xarray/core/combine.py,115,11,115,12,118 120 121 122,115 116 117 119 123 124 125,119,sha256:443200b16f92efb3dec1fa26a091bbafde8452ae7725a87ed9a815c8025a9971,approved,true,true,true,Verified against patch hunk base source and independent AST.
