split,ticket_id,repo,title,outcome,automatic_failure_stage,reviewed_failure_stage,reviewed_failure_stage_zh,review_status,manual_inspection,review_note,gold_files,missing_gold_files,index_absence_details,evidence_issues
frozen_holdout_v1_posthoc,astropy__astropy-14907,astropy/astropy,TST: test_table_group_by[True] and test_group_by_masked[True] failed with numpy 1.25rc1,miss,mixed_retrieval_and_rerank,mixed_retrieval_and_rerank,同一Ticket同時包含初步檢索與重新排序遺漏,confirmed,completed,分類正確；包含1個初步檢索遺漏與1個SBERT重排遺漏。,astropy/table/index.py | astropy/time/core.py,astropy/table/index.py | astropy/time/core.py,[],
frozen_holdout_v1_posthoc,astropy__astropy-8707,astropy/astropy,Header.fromstring does not accept Python 3 bytes,partial_recall,reranker_demotion,reranker_demotion,正確檔案在TF-IDF前50名，但被SBERT排出前20名,confirmed,completed,分類正確；正確檔案原在TF-IDF第6名，重排後未進Top-20。,astropy/io/fits/card.py | astropy/io/fits/header.py,astropy/io/fits/card.py,[],
validation,astropy__astropy-13132,astropy/astropy,Add __array_func__ for astropy.time.Time,miss,index_coverage_failure,index_coverage_failure,正確檔案未進入Code Index,confirmed,completed,分類正確；至少一個正確檔案不在Code Index。原因：file_absent_at_base_commit=2。,astropy/time/core.py | astropy/time/time_helper/__init__.py | astropy/time/time_helper/function_helpers.py,astropy/time/core.py | astropy/time/time_helper/__init__.py | astropy/time/time_helper/function_helpers.py,"[{""gold_file"": ""astropy/time/time_helper/__init__.py"", ""reason"": ""file_absent_at_base_commit""}, {""gold_file"": ""astropy/time/time_helper/function_helpers.py"", ""reason"": ""file_absent_at_base_commit""}]",
validation,astropy__astropy-13438,astropy/astropy,[Security] Jquery 3.1.1 is vulnerable to untrusted code execution,miss,initial_retrieval_miss,initial_retrieval_miss,正確檔案未進入TF-IDF前50名,confirmed,completed,分類正確；1個遺漏檔案存在索引中，但未進入TF-IDF前50名。,astropy/table/jsviewer.py,astropy/table/jsviewer.py,[],
validation,django__django-13841,django/django,Access __file__ lazily rather than at module level,partial_recall,mixed_retrieval_and_rerank,mixed_retrieval_and_rerank,同一Ticket同時包含初步檢索與重新排序遺漏,confirmed,completed,分類正確；包含2個初步檢索遺漏與1個SBERT重排遺漏。,django/contrib/auth/password_validation.py | django/forms/renderers.py | django/utils/version.py | django/views/debug.py,django/contrib/auth/password_validation.py | django/forms/renderers.py | django/utils/version.py,[],
validation,django__django-16117,django/django,Generated migration file is not detected by django because of the name of newly generated migration file,miss,reranker_demotion,reranker_demotion,正確檔案在TF-IDF前50名，但被SBERT排出前20名,confirmed,completed,分類正確；正確檔案原在TF-IDF第17名，重排後未進Top-20。,django/db/migrations/migration.py,django/db/migrations/migration.py,[],
frozen_holdout_v1_posthoc,pylint-dev__pylint-4661,pylint-dev/pylint,Make pylint XDG Base Directory Specification compliant,partial_recall,index_coverage_failure,index_coverage_failure,正確檔案未進入Code Index,confirmed,completed,分類正確；至少一個正確檔案不在Code Index。原因：existing_file_excluded_by_index_rules=1。,pylint/config/__init__.py | setup.cfg,setup.cfg,"[{""gold_file"": ""setup.cfg"", ""reason"": ""existing_file_excluded_by_index_rules""}]",
frozen_holdout_v1_posthoc,django__django-5470,django/django,Set script prefix in django.setup() to allow its usage outside of requests,miss,initial_retrieval_miss,initial_retrieval_miss,正確檔案未進入TF-IDF前50名,confirmed,completed,分類正確；2個遺漏檔案存在索引中，但未進入TF-IDF前50名。,django/__init__.py | django/core/wsgi.py,django/__init__.py | django/core/wsgi.py,[],
frozen_holdout_v1_posthoc,django__django-11281,django/django,Improve typography of user facing strings.,partial_recall,mixed_retrieval_and_rerank,mixed_retrieval_and_rerank,同一Ticket同時包含初步檢索與重新排序遺漏,confirmed,completed,分類正確；包含20個初步檢索遺漏與1個SBERT重排遺漏。,django/contrib/admin/models.py | django/contrib/admin/options.py | django/contrib/auth/forms.py | django/contrib/auth/password_validation.py | django/contrib/contenttypes/views.py | django/contrib/flatpages/forms.py | django/contrib/flatpages/migrations/0001_initial.py | django/contrib/flatpages/models.py | django/contrib/gis/db/models/fields.py | django/contrib/gis/views.py | django/contrib/postgres/fields/hstore.py | django/contrib/postgres/forms/jsonb.py | django/contrib/redirects/migrations/0001_initial.py | django/contrib/redirects/models.py | django/core/validators.py | django/db/models/fields/__init__.py | django/forms/models.py | django/forms/utils.py | django/views/csrf.py | django/views/generic/dates.py | django/views/generic/list.py | django/views/static.py,django/contrib/admin/models.py | django/contrib/admin/options.py | django/contrib/auth/forms.py | django/contrib/auth/password_validation.py | django/contrib/contenttypes/views.py | django/contrib/flatpages/forms.py | django/contrib/flatpages/migrations/0001_initial.py | django/contrib/flatpages/models.py | django/contrib/gis/db/models/fields.py | django/contrib/gis/views.py | django/contrib/postgres/fields/hstore.py | django/contrib/postgres/forms/jsonb.py | django/contrib/redirects/migrations/0001_initial.py | django/contrib/redirects/models.py | django/core/validators.py | django/db/models/fields/__init__.py | django/forms/models.py | django/forms/utils.py | django/views/generic/dates.py | django/views/generic/list.py | django/views/static.py,[],
frozen_holdout_v1_posthoc,django__django-12198,django/django,Allow sensitive_variables() to preserve the signature of its decorated function,partial_recall,reranker_demotion,reranker_demotion,正確檔案在TF-IDF前50名，但被SBERT排出前20名,confirmed,completed,"分類正確；正確檔案原在TF-IDF第17, 44名，重排後未進Top-20。",django/contrib/auth/__init__.py | django/db/models/sql/query.py | django/template/base.py,django/db/models/sql/query.py | django/template/base.py,[],
validation,matplotlib__matplotlib-25515,matplotlib/matplotlib,[ENH]: hi-res plot directive...,partial_recall,index_coverage_failure,index_coverage_failure,正確檔案未進入Code Index,confirmed,completed,分類正確；至少一個正確檔案不在Code Index。原因：file_absent_at_base_commit=1。,doc/conf.py | lib/matplotlib/sphinxext/figmpl_directive.py | lib/matplotlib/sphinxext/plot_directive.py,doc/conf.py | lib/matplotlib/sphinxext/figmpl_directive.py,"[{""gold_file"": ""lib/matplotlib/sphinxext/figmpl_directive.py"", ""reason"": ""file_absent_at_base_commit""}]",
validation,django__django-14387,django/django,Incorrect SQL generation filtering OR-combined queries,miss,initial_retrieval_miss,initial_retrieval_miss,正確檔案未進入TF-IDF前50名,confirmed,completed,分類正確；1個遺漏檔案存在索引中，但未進入TF-IDF前50名。,django/utils/tree.py,django/utils/tree.py,[],
validation,django__django-10301,django/django,SQLite functions crashes on NULL values,partial_recall,mixed_retrieval_and_rerank,mixed_retrieval_and_rerank,同一Ticket同時包含初步檢索與重新排序遺漏,confirmed,completed,分類正確；包含2個初步檢索遺漏與1個SBERT重排遺漏。,django/db/backends/oracle/operations.py | django/db/backends/sqlite3/base.py | django/db/models/functions/datetime.py | django/db/models/functions/text.py,django/db/backends/oracle/operations.py | django/db/models/functions/datetime.py | django/db/models/functions/text.py,[],
validation,django__django-11740,django/django,Change uuid field to FK does not create dependency,miss,reranker_demotion,reranker_demotion,正確檔案在TF-IDF前50名，但被SBERT排出前20名,confirmed,completed,分類正確；正確檔案原在TF-IDF第26名，重排後未進Top-20。,django/db/migrations/autodetector.py,django/db/migrations/autodetector.py,[],
frozen_holdout_v1_posthoc,pytest-dev__pytest-7122,pytest-dev/pytest,-k mishandles numbers,miss,index_coverage_failure,index_coverage_failure,正確檔案未進入Code Index,confirmed,completed,分類正確；至少一個正確檔案不在Code Index。原因：file_absent_at_base_commit=1。,src/_pytest/mark/expression.py | src/_pytest/mark/legacy.py,src/_pytest/mark/expression.py | src/_pytest/mark/legacy.py,"[{""gold_file"": ""src/_pytest/mark/expression.py"", ""reason"": ""file_absent_at_base_commit""}]",
frozen_holdout_v1_posthoc,django__django-11532,django/django,Email messages crash on non-ASCII domain when email encoding is non-unicode.,partial_recall,initial_retrieval_miss,initial_retrieval_miss,正確檔案未進入TF-IDF前50名,confirmed,completed,分類正確；1個遺漏檔案存在索引中，但未進入TF-IDF前50名。,django/core/mail/message.py | django/core/mail/utils.py | django/core/validators.py | django/utils/encoding.py | django/utils/html.py,django/utils/html.py,[],
frozen_holdout_v1_posthoc,django__django-12431,django/django,FileResponse with temporary file closing connection.,miss,mixed_retrieval_and_rerank,mixed_retrieval_and_rerank,同一Ticket同時包含初步檢索與重新排序遺漏,confirmed,completed,分類正確；包含2個初步檢索遺漏與1個SBERT重排遺漏。,django/core/handlers/base.py | django/core/handlers/wsgi.py | django/http/response.py,django/core/handlers/base.py | django/core/handlers/wsgi.py | django/http/response.py,[],
frozen_holdout_v1_posthoc,django__django-10910,django/django,Using database functions with tzinfo=datetime.timezone(datetime.timedelta(...)) results in an incorrect query,partial_recall,reranker_demotion,reranker_demotion,正確檔案在TF-IDF前50名，但被SBERT排出前20名,confirmed,completed,分類正確；正確檔案原在TF-IDF第33名，重排後未進Top-20。,django/db/backends/mysql/operations.py | django/db/backends/oracle/operations.py | django/db/backends/postgresql/operations.py | django/db/backends/sqlite3/base.py,django/db/backends/sqlite3/base.py,[],
validation,matplotlib__matplotlib-24691,matplotlib/matplotlib,[ENH]: set facecolor and edgecolor alpha separately,partial_recall,index_coverage_failure,index_coverage_failure,正確檔案未進入Code Index,confirmed,completed,分類正確；至少一個正確檔案不在Code Index。原因：file_absent_at_base_commit=1。,galleries/examples/color/set_alpha.py | galleries/users_explain/colors/colors.py | lib/matplotlib/colors.py,galleries/examples/color/set_alpha.py | galleries/users_explain/colors/colors.py,"[{""gold_file"": ""galleries/examples/color/set_alpha.py"", ""reason"": ""file_absent_at_base_commit""}]",
validation,django__django-14681,django/django,CSRF failure incorrectly reported on upload when there is a problem with storage,miss,initial_retrieval_miss,initial_retrieval_miss,正確檔案未進入TF-IDF前50名,confirmed,completed,分類正確；1個遺漏檔案存在索引中，但未進入TF-IDF前50名。,django/middleware/csrf.py,django/middleware/csrf.py,[],
