ticket_id,repo,title,classification,classification_zh,review_reason,gold_files,implementation_files,source_api_files,evidence_count
astropy__astropy-14701,astropy/astropy,Register ``latex`` to ``Cosmology.write``,irrelevant_mapping,無關對應,io.html來自說明中的文件網址，錯對到ascii HTML，與Cosmology latex輸出無關。,astropy/cosmology/io/__init__.py | astropy/cosmology/io/latex.py,astropy/io/ascii/html.py,astropy/io/ascii/__init__.py,1
astropy__astropy-12825,astropy/astropy,SkyCoord in Table breaks aggregate on group_by,correct_mapping,正確對應,group_by wrapper直接連到Gold檔案astropy/table/groups.py。,astropy/table/column.py | astropy/table/groups.py | astropy/utils/data_info.py,astropy/table/groups.py | astropy/table/table.py,astropy/table/column.py | astropy/table/table.py | astropy/table/__init__.py,5
astropy__astropy-13234,astropy/astropy,"Structured column serialization round-trip fails with field name of ""name""",relationship_correct_not_modified,關係正確但非本次修改位置,Table read/write是序列化入口，但證據只連到通用ascii I/O，本次修改在table/serialize.py。,astropy/table/serialize.py,astropy/io/ascii/core.py | astropy/io/ascii/ui.py,astropy/io/ascii/latex.py | astropy/io/ascii/__init__.py,8
astropy__astropy-13933,astropy/astropy,Unpickled Angle.to_string fails,irrelevant_mapping,無關對應,Angle.to_string被同名碰撞到OGIP單位格式器，並非Ticket中的Angle實作。,astropy/coordinates/angles.py | astropy/visualization/wcsaxes/formatter_locator.py,astropy/units/format/generic.py,astropy/units/format/ogip.py,4
astropy__astropy-13477,astropy/astropy,Comparing Frame with data and SkyCoord with same data raises exception,relationship_correct_not_modified,關係正確但非本次修改位置,ICRS是比較案例使用的座標框架，重新匯出關係正確，但修改點在baseframe與sky_coordinate。,astropy/coordinates/baseframe.py | astropy/coordinates/sky_coordinate.py,astropy/coordinates/builtin_frames/icrs.py,astropy/coordinates/builtin_frames/__init__.py,1
astropy__astropy-7973,astropy/astropy,Record data size in the WCS object,irrelevant_mapping,無關對應,fits名稱再次被錯對到units.format.Fits，與WCS資料尺寸記錄無關。,astropy/wcs/wcs.py,astropy/units/format/fits.py,astropy/units/format/__init__.py,1
astropy__astropy-14413,astropy/astropy,Unicode and console unit representations sometimes include an extraneous space,correct_mapping,正確對應,Unicode與Console公開格式名稱直接連到兩個Gold修改檔案。,astropy/units/format/console.py | astropy/units/format/latex.py | astropy/units/format/unicode_format.py,astropy/units/format/unicode_format.py | astropy/units/format/console.py,astropy/units/format/__init__.py,2
astropy__astropy-13417,astropy/astropy,FITS problem reading binary table with variable length columns,correct_mapping,正確對應,FITS_rec重新匯出直接連到Gold檔案astropy/io/fits/fitsrec.py。,astropy/io/fits/column.py | astropy/io/fits/fitsrec.py,astropy/io/fits/fitsrec.py | astropy/io/fits/hdu/hdulist.py | astropy/io/fits/hdu/table.py | astropy/units/format/fits.py,astropy/io/fits/__init__.py | astropy/io/fits/hdu/__init__.py | astropy/units/format/__init__.py,4
astropy__astropy-13306,astropy/astropy,vstack'ing structured array tables fails with casting error,relationship_correct_not_modified,關係正確但非本次修改位置,vstack是問題的公開操作，連到operations.py的關係正確，但實際修正位於utils/metadata.py。,astropy/utils/metadata.py,astropy/table/operations.py,astropy/table/__init__.py,1
astropy__astropy-13073,astropy/astropy,Document reading True/False in ASCII table as bool not str,correct_mapping,正確對應,ASCII讀取流程的wrapper證據連到Gold檔案astropy/io/ascii/core.py。,astropy/io/ascii/core.py | astropy/io/ascii/docs.py,astropy/io/ascii/core.py | astropy/io/ascii/ui.py,astropy/io/ascii/daophot.py | astropy/io/ascii/__init__.py,6
astropy__astropy-14702,astropy/astropy,BUG: change representation of votable.tree.Table vs table.Table,correct_mapping,正確對應,VOTable公開名稱連到Gold檔案astropy/io/votable/tree.py。,astropy/io/votable/tree.py,astropy/table/table.py | astropy/io/votable/tree.py,astropy/table/__init__.py | astropy/io/votable/connect.py,3
django__django-15018,django/django,call_command() fails when required mutually exclusive arguments use the same `dest`.,relationship_correct_not_modified,關係正確但非本次修改位置,BaseCommand是call_command流程中的有效API，來源檔即Gold，但底層base.py不是本次修改位置。,django/core/management/__init__.py,django/core/management/base.py,django/core/management/__init__.py,1
django__django-11356,django/django,on_delete attribute must be callable.,correct_mapping,正確對應,ForeignKey重新匯出直接連到Gold檔案django/db/models/fields/related.py。,django/db/models/fields/related.py,django/contrib/admin/utils.py | django/db/models/fields/related.py,django/contrib/admin/options.py | django/db/models/__init__.py,3
django__django-15098,django/django,Internationalisation didn't support language locale containing both script and region.,irrelevant_mapping,無關對應,HttpResponse只出現在重現範例，與語系解析錯誤及translation實作無關。,django/utils/translation/trans_real.py,django/http/response.py,django/http/__init__.py,1
django__django-15483,django/django,AppAdmin class for customizing app listing in admin index,relationship_correct_not_modified,關係正確但非本次修改位置,ModelAdmin與register是相關admin公開API，但AppAdmin功能的修改位置是sites.py。,django/contrib/admin/sites.py,django/contrib/admin/options.py | django/contrib/admin/decorators.py,django/contrib/admin/__init__.py,4
django__django-11749,django/django,call_command fails when argument of required mutually exclusive group is passed in kwargs.,relationship_correct_not_modified,關係正確但非本次修改位置,CommandError是call_command錯誤路徑的有效API，來源檔為Gold，但base.py並非修改點。,django/core/management/__init__.py,django/core/management/base.py,django/core/management/__init__.py,1
django__django-12961,django/django,order_by() with expressions crashes on union() querysets.,irrelevant_mapping,無關對應,timezone.now只是查詢範例中的運算式，錯誤核心是union後的order_by編譯。,django/db/models/sql/compiler.py,django/db/models/functions/datetime.py,django/db/models/functions/__init__.py,1
django__django-13267,django/django,"Instantiating an abstract model with a string ForeignKey fails with TypeError: isinstance() arg 2 must be a class, type, or tuple of classes and types",relationship_correct_not_modified,關係正確但非本次修改位置,ForeignKey是錯誤情境的核心欄位API，但本次修正是Model實例化流程的base.py。,django/db/models/base.py,django/db/models/fields/related.py,django/db/models/__init__.py,2
django__django-17045,django/django,Add a system check for unmatched URL paths' < / >,relationship_correct_not_modified,關係正確但非本次修改位置,NoReverseMatch是錯誤表現且重新匯出關係正確，但應修改RoutePattern所在的resolvers.py。,django/urls/resolvers.py,django/urls/exceptions.py,django/urls/__init__.py,1
django__django-13401,django/django,Abstract model field should not be equal across models,relationship_correct_not_modified,關係正確但非本次修改位置,Model基底類別與抽象模型情境相關，但本次欄位相等性修正在fields/__init__.py。,django/db/models/fields/__init__.py,django/db/models/base.py,django/db/models/__init__.py,2
